End of Period,S$ Per Unit of US Dollar,3-MONTH US$ SIBOR,A-REIT,AscottREIT,CCT,CMT,FrasersCT,K-REIT
2013-08,1.2757,0.27,2.18,1.195,1.355,1.98,1.79,1.2
2013-09,1.2572,0.25,2.28,1.26,1.45,2.02,1.845,1.23
2013-10,1.2394,0.24,2.37,1.31,1.475,2.11,1.855,1.21
2013-11,1.2555,0.24,2.22,1.19,1.485,2.07,1.77,1.185
2013-12,1.2653,0.25,2.2,1.205,1.45,2.13,1.76,1.185
2014-01,1.2759,0.4,2.13,1.185,1.42,2.12,1.7,1.125
2014-02,1.2672,0.41,2.16,1.155,1.465,2.15,1.75,1.175
2014-03,1.2605,0.4,2.26,1.195,1.485,2.09,1.78,1.14
2014-04,1.2565,0.41,2.29,1.2,1.6,2.32,1.795,1.21
2014-05,1.2548,0.4,2.46,1.23,1.69,2.15,1.915,1.305
2014-06,1.249,0.4,2.3,1.225,1.7,1.995,1.895,1.28
2014-07,1.2458,0.4,2.33,1.235,1.665,2.03,1.94,1.27
2014-08,1.2492,0.4,2.35,1.235,1.7,1.86,2,1.25
2014-09,1.2728,0.4,2.25,1.235,1.595,1.96,1.885,1.19
2014-10,1.2779,0.41,2.23,1.24,1.67,2.02,1.945,1.22
2014-11,1.3025,0.41,2.34,1.275,1.685,1.945,1.895,1.24
2014-12,1.3213,0.43,2.38,1.27,1.755,1.905,1.895,0.975
2015-01,1.3512,0.46,2.46,1.265,1.77,1.87,2.07,1.03
2015-02,1.3568,0.68,2.47,1.3,1.765,1.9,2.04,1.04
2015-03,1.3765,0.79,2.59,1.245,1.765,1.89,2.02,1.03
2015-04,1.323,1.02,2.47,1.275,1.695,1.995,2.07,1.03
2015-05,1.3476,0.89,2.4,1.285,1.615,2.07,2.13,1.05
2015-06,1.3474,0.83,2.46,1.29,1.56,1.975,2.06,1.05
2015-07,1.3728,0.82,2.42,1.25,1.425,1.97,2.06,1.085
2015-08,1.4135,0.88,2.23,1.25,1.33,2,1.945,1.03
2015-09,1.4253,0.95,2.34,1.225,1.34,1.91,1.905,1.02
2015-10,1.4018,1.14,2.39,1.21,1.41,1.97,1.955,1.045
2015-11,1.4131,1.07,2.39,1.185,1.31,1.98,1.85,1.05
2015-12,1.4139,1.08,2.28,1.185,1.35,2.04,1.845,1.015
2016-01,1.4277,1.19,2.32,1.15,1.295,2.09,1.9,1
2016-02,1.4085,1.25,2.42,1.13,1.43,2.11,1.985,1.055
2016-03,1.3511,1.25,2.39,1.07,1.47,2.2,2,1.06
2016-04,1.3445,1.06,2.46,1.135,1.43,2.19,1.95,1.095
2016-05,1.3796,1.01,2.29,1.145,1.39,2.17,2.02,1.08
2016-06,1.349,1,2.48,1.09,1.475,2.15,2.13,1.11
2016-07,1.3475,0.93,2.45,1.13,1.505,2,2.14,1.21
2016-08,1.363,0.88,2.45,1.135,1.545,1.92,2.16,1.22
2016-09,1.3656,0.87,2.52,1.14,1.59,1.9,2.2,1.22
2016-10,1.3921,0.87,2.37,1.135,1.575,1.98,2.08,1.245
2016-11,1.425,0.87,2.35,1.135,1.53,1.905,1.95,1.225
2016-12,1.4463,0.93,2.27,1.13,1.48,1.93,1.9,1.185
2017-01,1.4196,0.97,2.46,1.135,1.525,1.99,2,1.195
2017-02,1.404,0.96,2.5,1.165,1.56,2.19,2,1.18
2017-03,1.3978,0.94,2.52,1.085,1.545,2.09,2.11,1.2
2017-04,1.3964,0.95,2.56,1.095,1.625,2.07,2.11,1.24
2017-05,1.3847,1,2.62,1.125,1.66,2.03,2.12,1.295
2017-06,1.3773,0.99,2.61,1.155,1.66,2.13,2.14,1.29
2017-07,1.3579,1.06,2.7,1.19,1.72,2.14,2.1,1.28
2017-08,1.3584,1.12,2.66,1.175,1.74,2.16,2.11,1.285
2017-09,1.3584,1.12,2.7,1.195,1.655,2.17,2.13,1.345
2017-10,1.3605,1.12,2.74,1.195,1.735,2.07,2.17,1.375
2017-11,1.3476,1.21,2.64,1.19,1.89,1.95,2.22,1.42
2017-12,1.3366,1.21,2.72,1.22,1.93,1.885,2.24,1.43
