Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
SIM LIM SQUARE,1 Rochor Canal Road  #06-63 ,34,Strata,1500000,44118,4099,06-JUN-2012,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
ORCHARD PLAZA,150 Orchard Road  #02-31 ,14,Strata,460000,32857,3053,05-JUN-2012,Retail,99 Yrs From 02/06/1977,Resale,09,23,238841,Central Region,Orchard
THOMSON V ONE,9 Sin Ming Road  #B1-07 ,29,Strata,530000,18276,1698,05-JUN-2012,Retail,99 Yrs From 08/05/2001,Resale,20,57,575630,Central Region,Bishan
TEXTILE CENTRE,200 Jalan Sultan  #01-22 ,71,Strata,1080000,15211,1413,04-JUN-2012,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
SUNSHINE PLAZA,91 Bencoolen Street  #01-88 ,27,Strata,868000,32148,2987,01-JUN-2012,Retail,99 Yrs From 19/03/1997,Resale,07,18,189652,Central Region,Rochor
SINGAPORE SHOPPING CENTRE,190 Clemenceau Avenue  #03-31 ,39,Strata,485000,12436,1155,01-JUN-2012,Retail,99 Yrs From 01/05/1948,Resale,09,23,239924,Central Region,Museum
FORTUNE CENTRE,190 Middle Road  #01-17 ,21,Strata,788000,37524,3486,30-MAY-2012,Retail,99 Yrs From 18/10/1980,Resale,07,18,188979,Central Region,Rochor
ORCHARD PLAZA,150 Orchard Road  #03-71 ,20,Strata,528000,26400,2453,29-MAY-2012,Retail,99 Yrs From 02/06/1977,Resale,09,23,238841,Central Region,Orchard
PEOPLE'S PARK CENTRE,101 Upper Cross Street  #B1-43 ,33,Strata,635000,19242,1788,28-MAY-2012,Retail,99 Yrs From 02/06/1970,Resale,01,05,058357,Central Region,Outram
GOLDEN MILE TOWER,6001 Beach Road  #01-44 ,69,Strata,700000,10145,942,28-MAY-2012,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
THOMSON V ONE,9 Sin Ming Road  #01-03 ,76,Strata,1600000,21053,1956,25-MAY-2012,Retail,99 Yrs From 08/05/2001,Resale,20,57,575630,Central Region,Bishan
SUNSHINE PLAZA,91 Bencoolen Street  #01-07 ,28,Strata,993300,35475,3296,24-MAY-2012,Retail,99 Yrs From 19/03/1997,Resale,07,18,189652,Central Region,Rochor
GOLDEN MILE TOWER,6001 Beach Road  #02-08 ,24,Strata,300000,12500,1161,24-MAY-2012,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
SULTAN PLAZA,100 Jalan Sultan  #04-23 ,18,Strata,213125,11840,1100,22-MAY-2012,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
CONCORDE SHOPPING CENTRE,317 Outram Road  #02-29 ,28,Strata,440000,15714,1460,22-MAY-2012,Retail,99 Yrs From 16/06/1980,Resale,03,16,169075,Central Region,Bukit Merah
ORCHARD PLAZA,150 Orchard Road  #04-46 ,18,Strata,513000,28500,2648,21-MAY-2012,Retail,99 Yrs From 02/06/1977,Resale,09,23,238841,Central Region,Orchard
SUNSHINE PLAZA,91 Bencoolen Street  #01-82 ,23,Strata,650000,28261,2625,18-MAY-2012,Retail,99 Yrs From 19/03/1997,Resale,07,18,189652,Central Region,Rochor
