Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #B2-07A ,41,Strata,1420000,34634,3218,24-AUG-2017,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
CITY GATE,371 Beach Road  #B1-20 ,53,Strata,1663000,31377,2915,10-AUG-2017,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road  #02-39 ,45,Strata,2046000,45467,4224,08-AUG-2017,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
HIGH STREET CENTRE,1 North Bridge Road  #02-35 ,45,Strata,630000,14000,1301,08-AUG-2017,Retail,99 Yrs From 02/06/1969,Resale,06,17,179094,Central Region,Downtown Core
PARKLANE SHOPPING MALL,35 Selegie Road  #05-11 ,41,Strata,520000,12683,1178,07-AUG-2017,Retail,99 Yrs From 01/12/1974,Resale,07,18,188307,Central Region,Rochor
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #02-14 ,47,Strata,930000,19787,1838,19-JUL-2017,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
CITY GATE,371 Beach Road  #B1-67 ,40,Strata,1780000,44500,4134,18-JUL-2017,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
BURLINGTON SQUARE,175 Bencoolen Street  #01-15 ,25,Strata,753200,30128,2799,11-JUL-2017,Retail,99 Yrs From 10/06/1996,Resale,07,18,189649,Central Region,Rochor
GOLDEN MILE COMPLEX,5001 Beach Road  #03-12 ,24,Strata,255000,10625,987,10-JUL-2017,Retail,99 Yrs From 04/08/1969,Resale,07,19,199588,Central Region,Kallang
SULTAN PLAZA,100 Jalan Sultan  #04-19 ,31,Strata,420000,13548,1259,05-JUL-2017,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
THE RIVERSIDE PIAZZA,11 Keng Cheow Street  #01-07 ,61,Strata,1149750,18848,1751,05-JUL-2017,Retail,99 Yrs From 02/10/1992,Resale,01,05,059608,Central Region,Singapore River
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #04-04 ,116,Strata,2000000,17241,1602,23-JUN-2017,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
SULTAN PLAZA,100 Jalan Sultan  #04-53 ,53,Strata,616680,11635,1081,16-JUN-2017,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
THE ARCADE,11 Collyer Quay  #03-11 ,21,Strata,950000,45238,4203,14-JUN-2017,Retail,99 Yrs From 01/10/1979,Resale,01,04,049317,Central Region,Downtown Core
SIM LIM SQUARE,1 Rochor Canal Road  #04-06 ,38,Strata,1300000,34211,3178,09-JUN-2017,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
GOLDEN MILE COMPLEX,5001 Beach Road  #01-65A ,18,Strata,280000,15556,1445,31-MAY-2017,Retail,99 Yrs From 04/08/1969,Resale,07,19,199588,Central Region,Kallang
CITY GATE,371 Beach Road  #B1-49 ,32,Strata,1367000,42719,3969,22-MAY-2017,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #B1-04 ,31,Strata,890000,28710,2667,19-MAY-2017,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
FURAMA CITY CENTRE SINGAPORE,60 Eu Tong Sen Street  #01-11 ,40,Strata,860000,21500,1997,18-MAY-2017,Retail,99 Yrs From 19/10/1979,Resale,01,05,059804,Central Region,Outram
SEASTRAND,11 Pasir Ris Link  #01-49 ,64,Strata,1125000,17578,1633,16-MAY-2017,Retail,99 Yrs From 03/01/2011,Resale,18,51,518180,East Region,Pasir Ris
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #B2-15 ,32,Strata,1050000,32813,3048,15-MAY-2017,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
SHENTON HOUSE,3 Shenton Way  #02-06 ,99,Strata,1210000,12222,1135,11-MAY-2017,Retail,99 Yrs From 02/06/1969,Resale,01,06,068805,Central Region,Downtown Core
SIM LIM SQUARE,1 Rochor Canal Road  #03-58 ,28,Strata,760688,27167,2524,21-APR-2017,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
CITY GATE,371 Beach Road  #B1-56 ,37,Strata,1256360,33956,3155,18-APR-2017,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
TEXTILE CENTRE,200 Jalan Sultan  #03-28 ,78,Strata,850000,10897,1012,17-APR-2017,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
FORTUNE CENTRE,190 Middle Road  #04-22 ,39,Strata,800000,20513,1906,17-APR-2017,Retail,99 Yrs From 18/10/1980,Resale,07,18,188979,Central Region,Rochor
GOLDEN MILE COMPLEX,5001 Beach Road  #03-62G ,13,Strata,178000,13692,1272,10-APR-2017,Retail,99 Yrs From 04/08/1969,Resale,07,19,199588,Central Region,Kallang
JURONG POINT,1 Jurong West Central 2  #B1-17/18 ,152,Strata,9700000,63816,5929,06-APR-2017,Retail,99 Yrs From 01/12/1993,Resale,22,64,648886,West Region,Jurong West
JURONG POINT,63 Jurong West Central 3  #03-84A ,13,Strata,650000,50000,4645,06-APR-2017,Retail,99 Yrs From 21/06/2006,Resale,22,64,648331,West Region,Jurong West
JURONG POINT,1 Jurong West Central 2  #B1-12/13 ,199,Strata,10900000,54774,5089,06-APR-2017,Retail,99 Yrs From 01/12/1993,Resale,22,64,648886,West Region,Jurong West
JURONG POINT ,1 Jurong West Central 2  #03-K3/07/16/40/41 ETC ,36830,Strata,1124780000,30540,2837,06-APR-2017,Retail,99 Yrs From 01/12/1993,Resale,22,64,648886,West Region,Jurong West
JURONG POINT,63 Jurong West Central 3  #03-84 ,11,Strata,670000,60909,5659,06-APR-2017,Retail,99 Yrs From 21/06/2006,Resale,22,64,648331,West Region,Jurong West
JURONG POINT,63 Jurong West Central 3  #03-68/118/201 ETC ,29159,Strata,1042000000,35735,3320,06-APR-2017,Retail,99 Yrs From 21/06/2006,Resale,22,64,648331,West Region,Jurong West
JURONG POINT,1 Jurong West Central 2  #B1-14/15/16 ,186,Strata,10600000,56989,5294,06-APR-2017,Retail,99 Yrs From 01/12/1993,Resale,22,64,648886,West Region,Jurong West
SIM LIM SQUARE,1 Rochor Canal Road  #03-81 ,32,Strata,1780000,55625,5168,27-MAR-2017,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
STARS OF KOVAN,988 Upper Serangoon Road  #01-24 ,44,Strata,2563000,58250,5412,23-MAR-2017,Retail,99 Yrs From 25/02/2015,New Sale,19,53,534733,North East Region,Hougang
SQUARE 2,10 Sinaran Drive  #10-13 ,89,Strata,2874000,32292,3000,23-MAR-2017,Retail,99 Yrs From 28/08/2002,Resale,11,30,307506,Central Region,Novena
THE BENCOOLEN,180 Bencoolen Street  #01-65 ,24,Strata,1590000,66250,6155,20-MAR-2017,Retail,99 Yrs From 24/06/1995,Resale,07,18,189646,Central Region,Rochor
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #02-21 ,33,Strata,823800,24964,2319,10-MAR-2017,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
TEXTILE CENTRE,200 Jalan Sultan  #03-24 ,98,Strata,950000,9694,901,08-MAR-2017,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
PEOPLE'S PARK COMPLEX,1 Park Road  #01-22 ,45,Strata,3800000,84444,7845,03-MAR-2017,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
SULTAN PLAZA,100 Jalan Sultan  #04-31 ,19,Strata,255000,13421,1247,24-FEB-2017,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
ORCHID HOTEL,1 Tras Link  #01-18 ,38,Strata,3200000,84211,7823,20-FEB-2017,Retail,99 Yrs From 02/10/2007,Resale,02,07,078867,Central Region,Outram
SIM LIM SQUARE,1 Rochor Canal Road  #03-89 ,32,Strata,1880000,58750,5458,16-FEB-2017,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
CONCORDE SHOPPING CENTRE,317 Outram Road  #01-33 ,27,Strata,500000,18519,1720,25-JAN-2017,Retail,99 Yrs From 16/06/1980,Resale,03,16,169075,Central Region,Bukit Merah
THOMSON PLAZA,301 Upper Thomson Road  #02-03 ,55,Strata,2030000,36909,3429,24-JAN-2017,Retail,99 Yrs From 15/10/1976,Resale,20,57,574408,Central Region,Bishan
CONCORDE SHOPPING CENTRE,317 Outram Road  #B1-01/02 ,427,Strata,5100000,11944,1110,09-JAN-2017,Retail,99 Yrs From 16/06/1980,Resale,03,16,169075,Central Region,Bukit Merah
GOLDEN MILE COMPLEX,5001 Beach Road  #03-25 ,51,Strata,400000,7843,729,09-JAN-2017,Retail,99 Yrs From 04/08/1969,Resale,07,19,199588,Central Region,Kallang
PEOPLE'S PARK COMPLEX,1 Park Road  #02-119 ,22,Strata,980000,44545,4138,06-JAN-2017,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
STARS OF KOVAN,988 Upper Serangoon Road  #01-15 ,56,Strata,4118000,73536,6832,05-JAN-2017,Retail,99 Yrs From 25/02/2015,New Sale,19,53,534733,North East Region,Hougang
JURONG POINT,1 Jurong West Central 2/Bukit Timah Road  #B1-09 ETC ,2940,Strata,52080000,17714,1646,01-JAN-2017,Retail,99 Yrs From 01/12/1993,Resale,22,64,648886,West Region,Jurong West
FU LU SHOU COMPLEX,149 Rochor Road  #01-01 ,34,Strata,2050000,60294,5601,23-DEC-2016,Retail,99 Yrs From 16/06/1980,Resale,07,18,188425,Central Region,Rochor
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #03-14 ,61,Strata,1200000,19672,1828,21-DEC-2016,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
CITY GATE,371 Beach Road  #02-54 ,40,Strata,1756000,43900,4078,21-DEC-2016,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road  #02-53 ETC ,81,Strata,3808350,47017,4368,05-DEC-2016,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
STARS OF KOVAN,988 Upper Serangoon Road  #01-27 ,26,Strata,1409000,54192,5035,02-DEC-2016,Retail,99 Yrs From 25/02/2015,New Sale,19,53,534733,North East Region,Hougang
ORCHARD PLAZA,150 Orchard Road  #02-32 ,21,Strata,500000,23810,2212,25-NOV-2016,Retail,99 Yrs From 02/06/1977,Resale,09,23,238841,Central Region,Orchard
CENTREPOINT,176 Orchard Road  #02-13 ,34,Strata,1650000,48529,4508,17-NOV-2016,Retail,99 Yrs From 17/08/1979,Resale,09,23,238843,Central Region,Orchard
CITY GATE,371 Beach Road  #B1-71 ,47,Strata,2046000,43532,4044,08-NOV-2016,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
GOLDEN VILLAGE - YISHUN TEN,51 Yishun Central 1  #01-03 ,300,Strata,11802800,39343,3655,04-NOV-2016,Retail,99 Yrs From 01/04/1990,Resale,27,76,768794,North Region,Yishun
GOLDEN VILLAGE - YISHUN TEN,51 Yishun Central 1  #01-01/02/09 ETC ,666,Strata,25947200,38960,3619,04-NOV-2016,Retail,99 Yrs From 01/04/1990,Resale,27,76,768794,North Region,Yishun
THE RAINTREE,95 Bukit Drive  #01-32 ,40,Strata,568000,14200,1319,31-OCT-2016,Retail,99 Yrs From 01/03/2003,Resale,21,58,587843,West Region,Bukit Panjang
CITY GATE,371 Beach Road  #01-48 ,39,Strata,1783600,45733,4249,27-OCT-2016,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
ORCHARD PLAZA,150 Orchard Road  #05-49 ,6,Strata,120000,20000,1858,25-OCT-2016,Retail,99 Yrs From 02/06/1977,Resale,09,23,238841,Central Region,Orchard
SQUARE 2,10 Sinaran Drive  #09-13 ,89,Strata,3075000,34551,3210,21-OCT-2016,Retail,99 Yrs From 28/08/2002,Resale,11,30,307506,Central Region,Novena
FORTUNE CENTRE,190 Middle Road  #02-18 ,50,Strata,1330000,26600,2471,19-OCT-2016,Retail,99 Yrs From 18/10/1980,Resale,07,18,188979,Central Region,Rochor
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #B2-05 ,315,Strata,7000000,22222,2064,11-OCT-2016,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
CITY GATE,371 Beach Road  #01-53 ,59,Strata,2683240,45479,4225,10-OCT-2016,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
JUNCTION NINE,18 Yishun Avenue 9  #02-43 ,13,Strata,880000,67692,6289,02-OCT-2016,Retail,99 Yrs From 30/04/2013,Sub Sale,27,76,768897,North Region,Yishun
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #02-21 ,33,Strata,750000,22727,2111,21-SEP-2016,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
FU LU SHOU COMPLEX,149 Rochor Road  #B1-25 ,38,Strata,1500000,39474,3667,06-SEP-2016,Retail,99 Yrs From 16/06/1980,Resale,07,18,188425,Central Region,Rochor
BURLINGTON SQUARE,175 Bencoolen Street  #01-19 ,22,Strata,950000,43182,4012,06-SEP-2016,Retail,99 Yrs From 10/06/1996,Resale,07,18,189649,Central Region,Rochor
PARKLANE SHOPPING MALL,35 Selegie Road  #03-20 ,19,Strata,336000,17684,1643,26-AUG-2016,Retail,99 Yrs From 01/12/1974,Resale,07,18,188307,Central Region,Rochor
GOLDEN MILE COMPLEX,5001 Beach Road  #01-02 ,47,Strata,1215000,25851,2402,25-AUG-2016,Retail,99 Yrs From 04/08/1969,Resale,07,19,199588,Central Region,Kallang
VISION EXCHANGE,2 Venture Drive  #01-20 ,69,Strata,4176000,60522,5623,22-AUG-2016,Retail,99 Yrs From 10/06/2013,New Sale,22,60,608526,West Region,Jurong East
SULTAN PLAZA,100 Jalan Sultan  #05-30 ,17,Strata,290000,17059,1585,19-AUG-2016,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
THE ARCADE,11 Collyer Quay  #01-33 ,27,Strata,2450000,90741,8430,15-AUG-2016,Retail,99 Yrs From 01/10/1979,Resale,01,04,049317,Central Region,Downtown Core
JUNCTION NINE,18 Yishun Avenue 9  #01-33 ,66,Strata,2943000,44591,4143,10-AUG-2016,Retail,99 Yrs From 30/04/2013,New Sale,27,76,768897,North Region,Yishun
SHENTON HOUSE,3 Shenton Way  #01-04 ,616,Strata,11388000,18487,1717,08-AUG-2016,Retail,99 Yrs From 02/06/1969,Resale,01,06,068805,Central Region,Downtown Core
CITY GATE,371 Beach Road  #01-36 ,62,Strata,3252000,52452,4873,04-AUG-2016,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road  #02-27 ,58,Strata,2181000,37603,3493,04-AUG-2016,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
THE GOLDEN LANDMARK,390 Victoria Street  #03-50 ,35,Strata,718000,20514,1906,02-AUG-2016,Retail,99 Yrs From 30/04/1981,Resale,07,18,188061,Central Region,Rochor
PEACE CENTRE/MANSIONS,1 Sophia Road  #01-35 ,68,Strata,1225000,18015,1674,28-JUL-2016,Retail,99 Yrs From 02/06/1970,Resale,09,22,228149,Central Region,Rochor
FURAMA CITY CENTRE SINGAPORE,60 Eu Tong Sen Street  #03-04 ,28,Strata,370000,13214,1228,26-JUL-2016,Retail,99 Yrs From 19/10/1979,Resale,01,05,059804,Central Region,Outram
THE MINTON,4 Hougang Street 11  #01-78/79/80 ,128,Strata,5685000,44414,4126,22-JUL-2016,Retail,99 Yrs From 27/07/2007,Resale,19,53,53875,North East Region,Hougang
PEACE CENTRE/MANSIONS,1 Sophia Road  #02-11 ,35,Strata,550000,15714,1460,15-JUL-2016,Retail,99 Yrs From 02/06/1970,Resale,09,22,228149,Central Region,Rochor
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #01-08 ,44,Strata,1238000,28136,2614,08-JUL-2016,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
CITY GATE,371 Beach Road  #01-21 ,33,Strata,1538000,46606,4330,24-JUN-2016,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
TEXTILE CENTRE,200 Jalan Sultan  #01-16 ,64,Strata,830000,12969,1205,21-JUN-2016,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
CITY GATE,371 Beach Road  #B1-19 ,52,Strata,1623000,31212,2900,16-JUN-2016,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
STARS OF KOVAN,988 Upper Serangoon Road  #01-26 ,20,Strata,1176000,58800,5463,10-JUN-2016,Retail,99 Yrs From 25/02/2015,New Sale,19,53,534733,North East Region,Hougang
JUNCTION NINE,18 Yishun Avenue 9  #02-48 ,24,Strata,793000,33042,3070,06-JUN-2016,Retail,99 Yrs From 30/04/2013,New Sale,27,76,768897,North Region,Yishun
ONE-NORTH RESIDENCES,9 One-North Gateway  #01-47 ,31,Strata,762000,24581,2284,02-JUN-2016,Retail,99 Yrs From 15/09/2005,Resale,05,13,138643,Central Region,Queenstown
STARS OF KOVAN,988 Upper Serangoon Road  #01-20 ,20,Strata,1116250,55813,5185,30-MAY-2016,Retail,99 Yrs From 25/02/2015,New Sale,19,53,534733,North East Region,Hougang
THE PLAZA,7500A Beach Road  #15-316/317 ,111,Strata,1812500,16329,1517,25-MAY-2016,Retail,99 Yrs From 03/09/1968,Resale,07,19,199591,Central Region,Kallang
SHENTON HOUSE,3 Shenton Way  #02-12 ,66,Strata,1440000,21818,2027,24-MAY-2016,Retail,99 Yrs From 02/06/1969,Resale,01,06,068805,Central Region,Downtown Core
CITY GATE,371 Beach Road  #B1-41 ,38,Strata,1185000,31184,2897,24-MAY-2016,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
FU LU SHOU COMPLEX,149 Rochor Road  #02-17 ,50,Strata,1880000,37600,3493,12-MAY-2016,Retail,99 Yrs From 16/06/1980,Resale,07,18,188425,Central Region,Rochor
CITY GATE,371 Beach Road  #01-20 ,36,Strata,1700000,47222,4387,11-MAY-2016,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
JUNCTION NINE,18 Yishun Avenue 9  #01-23 ,95,Strata,3950000,41579,3863,11-MAY-2016,Retail,99 Yrs From 30/04/2013,Sub Sale,27,76,768897,North Region,Yishun
SQUARE 2,10 Sinaran Drive  #09-32 ,65,Strata,2220000,34154,3173,03-MAY-2016,Retail,99 Yrs From 28/08/2002,Resale,11,30,307506,Central Region,Novena
FURAMA CITY CENTRE SINGAPORE,60 Eu Tong Sen Street  #01-12 ,36,Strata,890000,24722,2297,29-APR-2016,Retail,99 Yrs From 19/10/1979,Resale,01,05,059804,Central Region,Outram
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #01-26 ,28,Strata,900000,32143,2986,29-APR-2016,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #B1-47 ,143,Strata,2800000,19580,1819,22-APR-2016,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #01-K33 ,14,Strata,450000,32143,2986,22-APR-2016,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
SIM LIM SQUARE,1 Rochor Canal Road  #05-07 ,38,Strata,1420000,37368,3472,14-APR-2016,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
SINGAPORE SHOPPING CENTRE,190 Clemenceau Avenue  #03-11 ,48,Strata,690000,14375,1335,08-APR-2016,Retail,99 Yrs From 01/05/1948,Resale,09,23,239924,Central Region,Museum
THE BENCOOLEN,180 Bencoolen Street  #01-03 ,39,Strata,2100000,53846,5002,07-APR-2016,Retail,99 Yrs From 24/06/1995,Resale,07,18,189646,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #01-30 ,39,Strata,1850000,47436,4407,31-MAR-2016,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
FU LU SHOU COMPLEX,149 Rochor Road  #03-23 ,45,Strata,998000,22178,2060,28-MAR-2016,Retail,99 Yrs From 16/06/1980,Resale,07,18,188425,Central Region,Rochor
ONE-NORTH RESIDENCES,9 One-North Gateway  #01-44 ,33,Strata,780000,23636,2196,23-MAR-2016,Retail,99 Yrs From 15/09/2005,Resale,05,13,138643,Central Region,Queenstown
CITY GATE,371 Beach Road  #B1-42 ,40,Strata,1689000,42225,3923,17-MAR-2016,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
SIM LIM SQUARE,1 Rochor Canal Road  #06-22 ,51,Strata,1300000,25490,2368,17-MAR-2016,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
PEACE CENTRE/MANSIONS,1 Sophia Road  #01-39/43 ,52,Strata,880000,16923,1572,10-MAR-2016,Retail,99 Yrs From 02/06/1970,Resale,09,22,228149,Central Region,Rochor
BYLANDS BUILDING,135 Middle Road  #01-08 ,36,Strata,540000,15000,1394,01-MAR-2016,Retail,99 Yrs From 02/05/1978,Resale,07,18,188975,Central Region,Rochor
PEOPLE'S PARK COMPLEX,1 Park Road  #02-K90 ,18,Strata,2080000,115556,10735,26-FEB-2016,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #04-18-28/38-67 ,1255,Strata,17500000,13944,1295,18-FEB-2016,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
ONE-NORTH RESIDENCES,9 One-North Gateway  #01-48 ,34,Strata,832000,24471,2273,17-FEB-2016,Retail,99 Yrs From 15/09/2005,Resale,05,13,138643,Central Region,Queenstown
JUNCTION NINE,18 Yishun Avenue 9  #02-49 ,33,Strata,1280000,38788,3603,05-FEB-2016,Retail,99 Yrs From 30/04/2013,Sub Sale,27,76,768897,North Region,Yishun
SULTAN PLAZA,100 Jalan Sultan  #01-23 ,70,Strata,1038000,14829,1378,03-FEB-2016,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
SULTAN PLAZA,100 Jalan Sultan  #01-25 ,50,Strata,742000,14840,1379,03-FEB-2016,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
CITY GATE,371 Beach Road  #01-17/18 ,126,Strata,6309000,50071,4652,27-JAN-2016,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road  #B1-35 ,42,Strata,1298000,30905,2871,22-JAN-2016,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
SULTAN PLAZA,100 Jalan Sultan  #04-40 ,29,Strata,430000,14828,1378,20-JAN-2016,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
SULTAN PLAZA,100 Jalan Sultan  #03-10 ,38,Strata,475000,12500,1161,20-JAN-2016,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
CITY GATE,371 Beach Road  #B1-36 ,41,Strata,1367000,33341,3097,15-JAN-2016,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
PARKLANE SHOPPING MALL,35 Selegie Road  #02-19 ,24,Strata,450000,18750,1742,13-JAN-2016,Retail,99 Yrs From 01/12/1974,Resale,07,18,188307,Central Region,Rochor
CITY GATE,371 Beach Road  #B1-68 ,42,Strata,2100000,50000,4645,04-JAN-2016,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road  #02-42 ,47,Strata,2268000,48255,4483,23-DEC-2015,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
GOLDEN MILE TOWER,6001 Beach Road  #02-69 ,26,Strata,350000,13462,1251,22-DEC-2015,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
CITY GATE,371 Beach Road  #B1-59 ,39,Strata,1328000,34051,3163,22-DEC-2015,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
THE VENUE SHOPPES,2 Tai Thong Crescent  #01-25 ,60,Strata,3321280,55355,5143,11-DEC-2015,Retail,99 Yrs From 05/12/2012,New Sale,13,34,347836,Central Region,Toa Payoh
CITY GATE,371 Beach Road  #B1-31 ,41,Strata,1280000,31220,2900,11-DEC-2015,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
HDB HUB,520 Lorong 6 Toa Payoh  #01-53 ,73,Strata,5750000,78767,7318,11-DEC-2015,Retail,99 Yrs From 01/05/2002,Resale,12,31,310520,Central Region,Toa Payoh
THE ARCADE,11 Collyer Quay  #01-18 ,4,Strata,1400000,350000,32516,09-DEC-2015,Retail,99 Yrs From 01/10/1979,Resale,01,04,049317,Central Region,Downtown Core
THE MIDTOWN,1187 Upper Serangoon Road  #01-38 ,73,Strata,2080000,28493,2647,09-DEC-2015,Retail,99 Yrs From 24/01/2013,New Sale,19,53,533971,North East Region,Hougang
THE BENCOOLEN,180 Bencoolen Street  #01-22 ,37,Strata,1800000,48649,4520,08-DEC-2015,Retail,99 Yrs From 24/06/1995,Resale,07,18,189646,Central Region,Rochor
CONCORDE SHOPPING CENTRE,317 Outram Road  #02-33 ,31,Strata,420000,13548,1259,08-DEC-2015,Retail,99 Yrs From 16/06/1980,Resale,03,16,169075,Central Region,Bukit Merah
SULTAN PLAZA,100 Jalan Sultan  #04-06 ,44,Strata,460000,10455,971,26-NOV-2015,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
CITY GATE,371 Beach Road  #01-05 ,83,Strata,4900000,59036,5485,23-NOV-2015,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
HIGH STREET CENTRE,1 North Bridge Road  #03-40 ,16,Strata,252000,15750,1463,23-NOV-2015,Retail,99 Yrs From 02/06/1969,Resale,06,17,179094,Central Region,Downtown Core
CITY GATE,371 Beach Road  #B1-37 ,43,Strata,1380000,32093,2982,16-NOV-2015,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
TEXTILE CENTRE,200 Jalan Sultan  #02-40 ,101,Strata,970000,9604,892,03-NOV-2015,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
RIVERVALE MALL,11 Rivervale Crescent ,10964,Strata,190500000,17375,1614,15-OCT-2015,Retail,99 Yrs From 06/12/1997,Resale,19,54,545082,North East Region,Sengkang
CITY GATE,371 Beach Road  #B1-39 ,37,Strata,1389000,37541,3488,13-OCT-2015,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
